Dataset,MZE,MAE,Time
contact-lenses,0.36666649999999995,0.49999996666666663,12.678493133333331
pasture,0.31851820000000003,0.2925924,13.168392399999998
squash-stored,0.40256383333333334,0.41025616666666664,13.850061299999998
squash-unstored,0.26666643333333334,0.2692305333333333,13.572378633333331
tae,0.4561403,0.4999999666666667,18.290695566666667
newthyroid,0.0413582,0.041358233333333334,15.492673166666666
balance-scale,0.033545700000000005,0.0316348,52.0185719
SWD,0.42426666666666674,0.4464,112.30173153333334
car,0.0033179,0.0036265,497.1325603666666
bondrate,0.44666666666666666,0.5888888333333334,13.81128606666667
toy,0.07199996666666666,0.06577773333333334,27.432897266666664
eucalyptus,0.34963773333333326,0.40452886666666665,379.8169420333333
LEV,0.3672,0.40080000000000016,118.56574326666666
automobile,0.25769230000000004,0.37115390000000004,41.632720166666665
winequality-red,0.3581666666666667,0.40708333333333335,569.7410175666666
ESL,0.28852456666666665,0.3013661666666667,62.73962710000001
ERA,0.7445333333333334,1.2366666666666666,251.47293729999998
